Dataset,Model,Condition,N_Problems,Orig,Cond,Diff,CI_Lo,CI_Hi
BIGOBENCH,Gemini-2.0-Flash,ISO,640,65.88,50.34,-15.53,-19.16,-11.97
BIGOBENCH,Gemini-2.0-Flash,ISO (dec only),640,65.88,51.41,-14.47,-17.88,-11.16
BIGOBENCH,Gemini-2.0-Flash,Syn-20%,640,65.88,62.16,-3.72,-6.19,-1.22
BIGOBENCH,Gemini-2.0-Flash,Syn-40%,640,65.88,60.50,-5.37,-8.19,-2.66
BIGOBENCH,Gemini-2.5-Flash,ISO,640,43.22,25.47,-17.75,-20.97,-14.56
BIGOBENCH,Gemini-2.5-Flash,ISO (dec only),640,43.22,30.00,-13.22,-15.87,-10.59
BIGOBENCH,Gemini-2.5-Flash,Syn-20%,640,43.22,45.06,1.84,-0.94,4.66
BIGOBENCH,Gemini-2.5-Flash,Syn-40%,640,43.22,46.16,2.94,0.03,5.91
BIGOBENCH,Codestral-22B,ISO,640,22.00,12.56,-9.44,-12.84,-6.25
BIGOBENCH,Codestral-22B,ISO (dec only),640,22.00,2.31,-19.69,-22.87,-16.66
BIGOBENCH,Codestral-22B,Syn-20%,640,22.00,17.19,-4.81,-7.56,-2.09
BIGOBENCH,Codestral-22B,Syn-40%,640,22.00,16.06,-5.94,-8.75,-3.19
BIGOBENCH,CodeLlama-13B,ISO,640,2.09,1.72,-0.37,-1.78,1.00
BIGOBENCH,CodeLlama-13B,ISO (dec only),640,2.09,0.00,-2.09,-3.22,-1.06
BIGOBENCH,CodeLlama-13B,Syn-20%,640,2.09,1.16,-0.94,-2.00,0.09
BIGOBENCH,CodeLlama-13B,Syn-40%,640,2.09,0.78,-1.31,-2.38,-0.31
BIGOBENCH,StarCoder2-15B,ISO,640,0.62,0.00,-0.62,-1.25,-0.16
BIGOBENCH,StarCoder2-15B,ISO (dec only),100,0.00,0.00,0.00,0.00,0.00
BIGOBENCH,StarCoder2-15B,Syn-20%,640,0.62,0.25,-0.38,-1.12,0.28
BIGOBENCH,StarCoder2-15B,Syn-40%,640,0.62,0.00,-0.62,-1.25,-0.16
EFFIBENCH,Gemini-2.0-Flash,ISO,338,54.38,29.29,-25.09,-30.36,-20.06
EFFIBENCH,Gemini-2.0-Flash,ISO (dec only),338,54.38,27.34,-27.04,-32.37,-21.66
EFFIBENCH,Gemini-2.0-Flash,Syn-20%,338,54.38,53.20,-1.18,-4.56,2.13
EFFIBENCH,Gemini-2.0-Flash,Syn-40%,338,54.38,51.78,-2.60,-6.27,0.89
EFFIBENCH,Gemini-2.5-Flash,ISO,338,26.15,11.72,-14.44,-17.99,-10.89
EFFIBENCH,Gemini-2.5-Flash,ISO (dec only),338,26.15,13.67,-12.49,-15.92,-9.17
EFFIBENCH,Gemini-2.5-Flash,Syn-20%,338,26.15,27.04,0.89,-1.54,3.25
EFFIBENCH,Gemini-2.5-Flash,Syn-40%,338,26.15,28.05,1.89,-0.41,4.26
EFFIBENCH,Codestral-22B,ISO,338,21.30,10.65,-10.65,-15.09,-6.21
EFFIBENCH,Codestral-22B,ISO (dec only),338,21.30,0.00,-21.30,-25.74,-17.16
EFFIBENCH,Codestral-22B,Syn-20%,338,21.30,18.88,-2.43,-5.74,0.83
EFFIBENCH,Codestral-22B,Syn-40%,338,21.30,7.57,-13.73,-17.99,-9.59
EFFIBENCH,CodeLlama-13B,ISO,338,0.41,0.00,-0.41,-1.12,0.00
EFFIBENCH,CodeLlama-13B,ISO (dec only),338,0.41,0.00,-0.41,-1.18,0.00
EFFIBENCH,CodeLlama-13B,Syn-20%,338,0.41,6.15,5.74,3.49,8.17
EFFIBENCH,CodeLlama-13B,Syn-40%,338,0.41,5.21,4.79,2.84,7.04
EFFIBENCH,StarCoder2-15B,ISO,338,3.91,0.00,-3.91,-6.04,-1.95
EFFIBENCH,StarCoder2-15B,ISO (dec only),338,3.91,0.00,-3.91,-6.09,-2.07
EFFIBENCH,StarCoder2-15B,Syn-20%,338,3.91,0.30,-3.61,-5.92,-1.54
EFFIBENCH,StarCoder2-15B,Syn-40%,338,3.91,0.59,-3.31,-5.44,-1.30
MBPP,Gemini-2.0-Flash,ISO,257,80.78,58.05,-22.72,-28.10,-17.51
MBPP,Gemini-2.0-Flash,ISO (dec only),257,80.78,54.01,-26.77,-32.61,-20.93
MBPP,Gemini-2.0-Flash,Syn-20%,257,80.78,79.22,-1.56,-4.12,1.01
MBPP,Gemini-2.0-Flash,Syn-40%,257,80.78,76.42,-4.36,-7.70,-1.25
MBPP,Gemini-2.5-Flash,ISO,257,77.35,47.24,-30.12,-35.25,-25.14
MBPP,Gemini-2.5-Flash,ISO (dec only),257,77.35,48.02,-29.34,-34.55,-24.20
MBPP,Gemini-2.5-Flash,Syn-20%,257,77.35,75.25,-2.10,-5.45,1.09
MBPP,Gemini-2.5-Flash,Syn-40%,257,77.35,76.11,-1.25,-4.05,1.48
MBPP,Codestral-22B,ISO,257,71.98,44.05,-27.94,-33.93,-22.10
MBPP,Codestral-22B,ISO (dec only),257,71.98,36.96,-35.02,-41.25,-28.79
MBPP,Codestral-22B,Syn-20%,257,71.98,64.20,-7.78,-10.74,-4.98
MBPP,Codestral-22B,Syn-40%,257,71.98,35.10,-36.89,-42.80,-30.97
MBPP,CodeLlama-13B,ISO,257,12.76,2.49,-10.27,-14.09,-6.61
MBPP,CodeLlama-13B,ISO (dec only),257,12.76,0.93,-11.83,-15.64,-8.09
MBPP,CodeLlama-13B,Syn-20%,257,12.76,17.74,4.98,1.40,8.72
MBPP,CodeLlama-13B,Syn-40%,257,12.76,21.25,8.48,3.97,13.07
MBPP,StarCoder2-15B,ISO,257,24.28,0.78,-23.50,-29.11,-18.21
MBPP,StarCoder2-15B,ISO (dec only),257,24.28,1.95,-22.33,-27.63,-17.12
