Dataset,Model,Condition,RowIndex,JSD
BIGOBENCH,Gemini-2.0-Flash,ISO,0,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,1,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,2,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,3,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,4,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,5,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,6,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,7,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,8,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,9,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,10,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,11,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,12,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,13,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,14,0.183820
BIGOBENCH,Gemini-2.0-Flash,ISO,15,0.183820
BIGOBENCH,Gemini-2.0-Flash,ISO,16,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,17,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,18,0.150643
BIGOBENCH,Gemini-2.0-Flash,ISO,19,0.122908
BIGOBENCH,Gemini-2.0-Flash,ISO,20,0.054663
BIGOBENCH,Gemini-2.0-Flash,ISO,21,0.054663
BIGOBENCH,Gemini-2.0-Flash,ISO,22,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,23,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,24,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,25,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,26,0.233845
BIGOBENCH,Gemini-2.0-Flash,ISO,27,0.233845
BIGOBENCH,Gemini-2.0-Flash,ISO,28,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,29,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,30,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,31,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,32,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,33,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,34,0.303392
BIGOBENCH,Gemini-2.0-Flash,ISO,35,0.304615
BIGOBENCH,Gemini-2.0-Flash,ISO,36,0.000000
BIGOBENCH,Gemini-2.0-Flash,ISO,37,0.000000
